WAVELENGTH FLUX ERROR
1058.033135302097 0.0 0.0
1058.043085718355 0.0 0.0
1058.053036134613 0.0 0.0
1058.062986550871 0.0 0.0
1058.072936967129 0.0 0.0
1058.082887383387 0.0 0.0
1058.092837799645 0.0 0.0
1058.102788215903 0.0 0.0
1058.112738632161 0.0 0.0
1058.122689048419 0.0 0.0
1058.132639464677 0.0 0.0
1058.142589880935 0.0 0.0
1058.152540297193 0.0 0.0
1058.162490713451 0.0 0.0
1058.172441129709 0.0 0.0
1058.182391545967 0.0 0.0
1058.1923419622249 0.0 0.0
1058.202292378483 0.0 0.0
1058.2122427947409 0.0 0.0
1058.222193210999 0.0 0.0
1058.2321436272568 0.0 0.0
1058.242094043515 0.0 0.0
1058.2520444597728 0.0 0.0
1058.261994876031 0.0 0.0
1058.2719452922888 0.0 0.0
1058.281895708547 0.0 0.0
1058.2918461248048 0.0 0.0
1058.301796541063 0.0 0.0
1058.3117469573208 0.0 0.0
1058.321697373579 0.0 0.0
1058.3316477898368 0.0 0.0
1058.341598206095 0.0 0.0
1058.3515486223528 0.0 0.0
1058.3614990386109 0.0 0.0
1058.3714494548688 0.0 0.0
1058.3813998711269 0.0 0.0
1058.3913502873847 0.0 0.0
1058.4013007036428 0.0 0.0
1058.4112511199007 0.0 0.0
1058.4212015361588 0.0 0.0
1058.4311519524167 0.0 0.0
1058.4411023686748 0.0 0.0
1058.4510527849327 0.0 0.0
1058.4610032011908 0.0 0.0
1058.4709536174487 0.0 0.0
1058.4809040337068 0.0 0.0
1058.4908544499647 0.0 0.0
1058.5008048662228 0.0 0.0
1058.5107552824807 0.0 0.0
1058.5207056987388 0.0 0.0
1058.5306561149966 0.0 0.0
1058.5406065312548 0.0 0.0
1058.5505569475126 0.0 0.0
1058.5605073637707 0.0 0.0
1058.5704577800286 0.0 0.0
1058.5804081962867 0.0 0.0
1058.5903586125446 0.0 0.0
1058.6003090288027 0.0 0.0
1058.6102594450606 0.0 0.0
1058.6202098613187 0.0 0.0
1058.6301602775766 0.0 0.0
1058.6401106938347 0.0 0.0
1058.6500611100926 0.0 0.0
1058.6600115263507 0.0 0.0
1058.6699619426086 0.0 0.0
1058.6799123588667 0.0 0.0
1058.6898627751245 0.0 0.0
1058.6998131913826 0.0 0.0
1058.7097636076405 0.0 0.0
1058.7197140238986 0.0 0.0
1058.7296644401565 0.0 0.0
1058.7396148564146 0.0 0.0
1058.7495652726725 0.0 0.0
1058.7595156889306 0.0 0.0
1058.7694661051885 0.0 0.0
1058.7794165214466 0.0 0.0
1058.7893669377045 0.0 0.0
1058.7993173539626 0.0 0.0
1058.8092677702205 0.0 0.0
1058.8192181864786 0.0 0.0
1058.8291686027364 0.0 0.0
1058.8391190189946 0.0 0.0
1058.8490694352527 0.0 0.0
1058.8590198515105 0.0 0.0
1058.8689702677686 0.0 0.0
1058.8789206840265 0.0 0.0
1058.8888711002846 0.0 0.0
1058.8988215165425 0.0 0.0
1058.9087719328006 0.0 0.0
1058.9187223490585 0.0 0.0
1058.9286727653166 0.0 0.0
1058.9386231815745 0.0 0.0
1058.9485735978326 0.0 0.0
1058.9585240140905 0.0 0.0
1058.9684744303486 0.0 0.0
1058.9784248466065 0.0 0.0
1058.9883752628646 0.0 0.0
1058.9983256791224 0.0 0.0
1059.0082760953806 0.0 0.0
1059.0182265116384 0.0 0.0
1059.0281769278965 0.0 0.0
1059.0381273441544 0.0 0.0
1059.0480777604125 0.0 0.0
1059.0580281766704 0.0 0.0
1059.0679785929285 0.0 0.0
1059.0779290091864 0.0 0.0
1059.0878794254445 0.0 0.0
1059.0978298417024 0.0 0.0
1059.1077802579605 0.0 0.0
1059.1177306742184 0.0 0.0
1059.1276810904765 0.0 0.0
1059.1376315067344 0.0 0.0
1059.1475819229925 0.0 0.0
1059.1575323392503 0.0 0.0
1059.1674827555084 0.0 0.0
1059.1774331717663 0.0 0.0
1059.1873835880244 0.0 0.0
