WAVELENGTH FLUX ERROR
1329.9742944843244 0.0 0.0
1329.9865219710919 0.0 0.0
1329.9987494578595 0.0 0.0
1330.010976944627 0.0 0.0
1330.0232044313943 0.0 0.0
1330.0354319181617 0.0 0.0
1330.0476594049294 0.0 0.0
1330.0598868916968 0.0 0.0
1330.0721143784642 0.0 0.0
1330.0843418652316 0.0 0.0
1330.0965693519993 0.0 0.0
1330.1087968387667 0.0 0.0
1330.121024325534 0.0 0.0
1330.1332518123015 0.0 0.0
1330.1454792990692 0.0 0.0
1330.1577067858366 0.0 0.0
1330.169934272604 0.0 0.0
1330.1821617593714 0.0 0.0
1330.194389246139 0.0 0.0
1330.2066167329065 0.0 0.0
1330.2188442196739 0.0 0.0
1330.2310717064413 0.0 0.0
1330.243299193209 0.0 0.0
1330.2555266799764 0.0 0.0
1330.2677541667438 0.0 0.0
1330.2799816535114 0.0 0.0
1330.2922091402788 0.0 0.0
1330.3044366270462 0.0 0.0
1330.3166641138137 0.0 0.0
1330.3288916005813 0.0 0.0
1330.3411190873487 0.0 0.0
1330.3533465741161 0.0 0.0
1330.3655740608835 0.0 0.0
1330.3778015476512 0.0 0.0
1330.3900290344186 0.0 0.0
1330.402256521186 0.0 0.0
1330.4144840079534 0.0 0.0
1330.426711494721 0.0 0.0
1330.4389389814885 0.0 0.0
1330.451166468256 0.0 0.0
1330.4633939550233 0.0 0.0
1330.475621441791 0.0 0.0
1330.4878489285584 0.0 0.0
1330.5000764153258 0.0 0.0
1330.5123039020932 0.0 0.0
1330.5245313888609 0.0 0.0
1330.5367588756283 0.0 0.0
1330.5489863623957 0.0 0.0
1330.5612138491633 0.0 0.0
1330.5734413359307 0.0 0.0
1330.5856688226982 0.0 0.0
1330.5978963094656 0.0 0.0
1330.6101237962332 0.0 0.0
1330.6223512830006 0.0 0.0
1330.634578769768 0.0 0.0
1330.6468062565355 0.0 0.0
1330.659033743303 0.0 0.0
1330.6712612300705 0.0 0.0
1330.683488716838 0.0 0.0
1330.6957162036053 0.0 0.0
1330.707943690373 0.0 0.0
1330.7201711771404 0.0 0.0
1330.7323986639078 0.0 0.0
1330.7446261506752 0.0 0.0
1330.7568536374429 0.0 0.0
1330.7690811242103 0.0 0.0
1330.7813086109777 0.0 0.0
1330.7935360977451 0.0 0.0
1330.8057635845128 0.0 0.0
1330.8179910712802 0.0 0.0
1330.8302185580476 0.0 0.0
1330.8424460448152 0.0 0.0
1330.8546735315826 0.0 0.0
1330.86690101835 0.0 0.0
1330.8791285051175 0.0 0.0
1330.8913559918851 0.0 0.0
1330.9035834786525 0.0 0.0
1330.91581096542 0.0 0.0
1330.9280384521874 0.0 0.0
1330.940265938955 0.0 0.0
1330.9524934257224 0.0 0.0
1330.9647209124898 0.0 0.0
1330.9769483992573 0.0 0.0
1330.989175886025 0.0 0.0
1331.0014033727923 0.0 0.0
1331.0136308595597 0.0 0.0
1331.0258583463271 0.0 0.0
1331.0380858330948 0.0 0.0
1331.0503133198622 0.0 0.0
1331.0625408066296 0.0 0.0
1331.074768293397 0.0 0.0
1331.0869957801647 0.0 0.0
1331.099223266932 0.0 0.0
1331.1114507536995 0.0 0.0
1331.1236782404671 0.0 0.0
1331.1359057272346 0.0 0.0
1331.148133214002 0.0 0.0
1331.1603607007694 0.0 0.0
1331.172588187537 0.0 0.0
1331.1848156743044 0.0 0.0
1331.1970431610719 0.0 0.0
1331.2092706478393 0.0 0.0
1331.221498134607 0.0 0.0
1331.2337256213743 0.0 0.0
1331.2459531081417 0.0 0.0
1331.2581805949092 0.0 0.0
1331.2704080816768 0.0 0.0
1331.2826355684442 0.0 0.0
1331.2948630552116 0.0 0.0
1331.307090541979 0.0 0.0
1331.3193180287467 0.0 0.0
1331.331545515514 0.0 0.0
1331.3437730022815 0.0 0.0
1331.356000489049 0.0 0.0
1331.3682279758166 0.0 0.0
1331.380455462584 0.0 0.0
1331.3926829493514 0.0 0.0
1331.404910436119 0.0 0.0
1331.4171379228865 0.0 0.0
1331.4293654096539 0.0 0.0
1331.4415928964213 0.0 0.0
1331.453820383189 0.0 0.0
1331.4660478699564 0.0 0.0
1331.4782753567238 0.0 0.0
1331.4905028434912 0.0 0.0
1331.5027303302588 0.0 0.0
1331.5149578170262 0.0 0.0
1331.5271853037937 0.0 0.0
1331.539412790561 0.0 0.0
1331.5516402773287 0.0 0.0
1331.5638677640961 0.0 0.0
1331.5760952508635 0.0 0.0
1331.588322737631 0.0 0.0
1331.6005502243986 0.0 0.0
1331.612777711166 0.0 0.0
1331.6250051979334 0.0 0.0
1331.6372326847008 0.0 0.0
1331.6494601714685 0.0 0.0
1331.661687658236 0.0 0.0
1331.6739151450033 0.0 0.0
1331.686142631771 0.0 0.0
1331.6983701185384 0.0 0.0
1331.7105976053058 0.0 0.0
1331.7228250920732 0.0 0.0
1331.7350525788409 0.0 0.0
1331.7472800656083 0.0 0.0
1331.7595075523757 0.0 0.0
1331.771735039143 0.0 0.0
1331.7839625259107 0.0 0.0
1331.7961900126782 0.0 0.0
1331.8084174994456 0.0 0.0
1331.820644986213 0.0 0.0
1331.8328724729806 0.0 0.0
1331.845099959748 0.0 0.0
1331.8573274465155 0.0 0.0
1331.8695549332829 0.0 0.0
1331.8817824200505 0.0 0.0
1331.894009906818 0.0 0.0
1331.9062373935853 0.0 0.0
1331.9184648803528 0.0 0.0
1331.9306923671204 0.0 0.0
1331.9429198538878 0.0 0.0
1331.9551473406552 0.0 0.0
1331.9673748274229 0.0 0.0
1331.9796023141903 0.0 0.0
1331.9918298009577 0.0 0.0
1332.0040572877251 0.0 0.0
1332.0162847744928 0.0 0.0
1332.0285122612602 0.0 0.0
1332.0407397480276 0.0 0.0
1332.052967234795 0.0 0.0
1332.0651947215626 0.0 0.0
1332.07742220833 0.0 0.0
1332.0896496950975 0.0 0.0
1332.101877181865 0.0 0.0
1332.1141046686325 0.0 0.0
1332.1263321554 0.0 0.0
1332.1385596421674 0.0 0.0
1332.1507871289348 0.0 0.0
1332.1630146157024 0.0 0.0
1332.1752421024698 0.0 0.0
1332.1874695892373 0.0 0.0
1332.1996970760047 0.0 0.0
1332.2119245627723 0.0 0.0
1332.2241520495397 0.0 0.0
1332.2363795363071 0.0 0.0
1332.2486070230748 0.0 0.0
1332.2608345098422 0.0 0.0
1332.2730619966096 0.0 0.0
1332.285289483377 0.0 0.0
1332.2975169701447 0.0 0.0
1332.309744456912 0.0 0.0
1332.3219719436795 0.0 0.0
1332.334199430447 0.0 0.0
1332.3464269172146 0.0 0.0
1332.358654403982 0.0 0.0
1332.3708818907494 0.0 0.0
1332.3831093775168 0.0 0.0
1332.3953368642844 0.0 0.0
1332.4075643510519 0.0 0.0
1332.4197918378193 0.0 0.0
1332.4320193245867 0.0 0.0
1332.4442468113543 0.0 0.0
1332.4564742981217 0.0 0.0
1332.4687017848892 0.0 0.0
1332.4809292716566 0.0 0.0
1332.4931567584242 0.0 0.0
1332.5053842451916 0.0 0.0
1332.517611731959 0.0 0.0
1332.5298392187267 0.0 0.0
1332.542066705494 0.0 0.0
