Wavelength,SWP,LWP,LWR
1145,1.013,0,0
1165,1.013,0,0
1185,1.085,0,0
1205,1.101,0,0
1225,1.061,0,0
1245,1.064,0,0
1265,1.077,0,0
1285,1.061,0,0
1305,1.065,0,0
1325,1.062,0,0
1345,1.063,0,0
1365,1.053,0,0
1385,1.048,0,0
1405,1.062,0,0
1425,1.039,0,0
1445,1.041,0,0
1465,1.038,0,0
1485,1.041,0,0
1505,1.057,0,0
1525,1.053,0,0
1545,1.031,0,0
1565,1.051,0,0
1585,1.037,0,0
1605,1.052,0,0
1625,1.046,0,0
1645,1.048,0,0
1665,1.041,0,0
1685,1.045,0,0
1705,1.055,0,0
1725,1.06,0,0
1745,1.046,0,0
1765,1.051,0,0
1785,1.051,0,0
1805,1.061,0,0
1825,1.058,0,0
1845,1.056,0,0
1865,1.045,0,0
1885,1.04,0,0
1905,1.047,0,0
1925,1.036,0,0
1945,1.042,0,0
1965,1.039,0,0
1985,1.039,0,0
1850,0,1.056,1.079
1920,0,1.056,1.079
1960,0,1.045,1.107
2000,0,1.059,1.111
2040,0,1.01,1.11
2080,0,1.042,1.093
2120,0,1.018,1.089
2160,0,1.059,1.106
2200,0,1.075,1.134
2240,0,1.062,1.108
2280,0,1.052,1.11
2320,0,1.06,1.131
2360,0,1.097,1.158
2400,0,1.086,1.118
2440,0,1.059,1.115
2480,0,1.077,1.092
2520,0,1.045,1.078
2560,0,1.04,1.087
2600,0,1.031,1.084
2640,0,1.042,1.065
2680,0,1.046,1.106
2720,0,1.033,1.082
2760,0,1.042,1.073
2800,0,1.04,1.07
2840,0,1.054,1.107
2880,0,1.044,1.11
2920,0,1.061,1.085
2960,0,1.066,1.099
3000,0,1.07,1.092
3040,0,1.066,1.069
3080,0,1.047,1.053
3120,0,1.03,1.042
3160,0,1.034,1.057
3200,0,1.025,1.076
3240,0,1.026,1.047
3280,0,1.026,1.047
3350,0,1.026,1.047
