Header,Value,Description
DATE,2025-02-13,date flux was calculated
FILENAME,spectra/epsInd_sw_coadd_v2_20241024.ecsv,name of the fits file used for flux calc
FILETYPE,SCI,observation type of fits input file
TELESCP,HST,telescope used to measure spectrum
INSTRMNT,COS,active instrument to measure spectrum
GRATING,G140L,grating used to measure spectrum
TARGNAME,ESPIND,name of star used in measurement
DOPPLER,312.5851387585779 km/s,doppler shift used to measure flux
WIDTH,+/- 12.0 Angstroms,average peak width of the emission lines
RANGE,+/- 24.0 Angstroms,flux range used to isolate emission line
WIDTHPXL,3,average emission line peak width in pixels
UPRLIMIT,3*error,upper limit used for noise

Ion,Rest Wavelength,Flux,Error,Blended Line
C III,1176.372,-1.8595770612241131e-13,0,True
Si III,1206.499,-1.2624774675834868e-13,0,False
Si III,1294.543,1.3202046785005548e-13,1.5887489599909104e-14,False
Si III,1296.726,1.0614538461026351e-13,1.5872503600777205e-14,False
Si III,1298.944,1.0614538461026351e-13,1.5872503600777205e-14,True
Si III,1301.147,1.3360204642957581e-13,1.5889106666889614e-14,False
Si III,1303.323,1.3871653438185232e-13,1.6954547836639874e-14,False
O V,1218.39,-1.1825806692228164e-13,0,False
O V,1371.292,-5.288503104447712e-14,0,False
N V,1238.821,-5.491735001890596e-14,0,False
N V,1242.804,-5.699893117606707e-14,0,False
S II,1253.811,-5.041796417867933e-14,0,False
S II,1259.519,-5.292515347883433e-14,0,False
Si II,1260.417,-4.918483103892599e-14,0,False
Si II,1265.001,-4.8665338990465356e-14,0,True
Si II,1304.369,1.0291511871591662e-13,1.593150738163532e-14,False
Si II,1526.706,-8.23647105543744e-14,0,False
Si II,1533.43,-8.338597265909975e-14,0,False
C II,1323.952,-4.717663381193059e-14,0,True
C II,1334.524,1.3681075135884472e-13,1.6042400940468814e-14,False
C II,1335.709,1.368058030618027e-13,1.6042400940468814e-14,False
Fe XXI,1354.08,-5.013546072016841e-14,0,False
Si IV,1393.755,-6.17086671057934e-14,0,False
Si IV,1402.77,-5.968023184635837e-14,0,False
O IV,1399.779,-5.885087067673673e-14,0,False
O IV,1401.171,-5.968023184635837e-14,0,False
O IV,1407.383,-6.13778475743873e-14,0,False
S IV,1404.818,-6.054800886089302e-14,0,False
S IV,1406.016,-6.054800886089302e-14,0,False
N IV,1486.496,-7.524968963587902e-14,0,False
C IV,1548.201,1.563026155677297e-13,2.808673115845179e-14,False
C IV,1550.772,1.563026155677297e-13,2.808673115845179e-14,False
He II,1640.42,1.3301741248589993e-13,2.534147227602387e-14,False
O III,1666.142,-7.248217625663778e-14,0,False
