Header,Value,Description
DATE,2025-01-19,date flux was calculated
FILENAME,spectra/epsInd_sw_coadd_v2_20241024.ecsv,name of the fits file used to for flux calc
FILETYPE,SCI,observation type of fits input file
TELESCP,HST,telescope used to measure spectrum
INSTRMNT,STIS,active instrument to measure spectrum
GRATING,E140L,grating used to measure spectrum
TARGNAME,ESPIND,name of star used in measurement
DOPPLER,39.05225403883556 km/s,doppler shift used to measure flux
WIDTH,+/- 15.0 Angstroms,average peak width of the emissoin lines
RANGE,+/- 30.0 Angstroms,flux range used to isolate emission line
WIDTHPXL,4,average emission line peak width in pixels
UPRLIMIT,3*error,upper limit used for noise

Ion,Rest Wavelength,Flux,Error,Blended Line
C III,1176.372,-2.267223727896582e-13,0,True
Si III,1206.499,-1.4296042128611609e-13,0,False
Si III,1303.323,1.996149393583437e-13,2.0618514814412975e-14,True
O V,1218.39,-1.2413138250101e-13,0,False
O V,1371.292,-6.011479636164865e-14,0,False
N V,1242.804,-6.564799869463263e-14,0,True
S II,1259.519,-5.994446657172204e-14,0,True
Si II,1265.001,-5.863718779971531e-14,0,True
Si II,1304.369,1.4198568149507363e-13,1.7959566369393203e-14,False
Si II,1533.43,-1.0382532748394035e-13,0,True
C II,1323.952,-5.3765662226948535e-14,0,True
C II,1335.709,1.3790874052370702e-13,1.8123492090944197e-14,True
Fe XXI,1354.08,-5.687009081346521e-14,0,False
Si IV,1402.77,-7.385891035580912e-14,0,True
O IV,1407.383,-7.868716079873376e-14,0,True
S IV,1406.016,1.3023668612401927e-13,2.287414468133603e-14,True
N IV,1486.496,-8.545039236097252e-14,0,False
C IV,1550.772,2.1840750605081777e-13,3.180520236950529e-14,True
He II,1640.42,2.292183497470639e-13,2.872416535954394e-14,False
O III,1666.142,-8.193590263026666e-14,0,False
