Header,Value,Description
DATE,2024-08-08,date flux was calculated
FILENAME,spectra/hlsp_muscles_hst_stis_gj_4102_g140l_v1_component-spec.fits,name of the fits file used to for flux calc
FILETYPE,SCI,observation type of fits input file
TELESCP,HST,telescope used to measure spectrum
INSTRMNT,STIS,active instrument to measure spectrum
GRATING,G140L,grating used to measure spectrum
TARGNAME,GJ-4102,name of star used in measurement
DOPPLER,151.85669845776377 km/s,doppler shift used to measure flux
WIDTH,+/- 5.0 Angstroms,average peak width of the emissoin lines
RANGE,+/- 10.0 Angstroms,flux range used to isolate emission line
WIDTHPXL,8,average emission line peak width in pixels
UPRLIMIT,3*error,upper limit used for noise

Ion,Rest Wavelength,Flux,Error,Blended Line
C III,1176.372,2.1634264181824656e-16,3.26175164884498e-17,True
Si III,1206.499,3.0496663810374367e-16,5.1298594001865344e-17,False
Si III,1303.323,-1.1937626847619645e-16,0,True
O V,1218.39,-1.548641122597811e-15,0,False
O V,1371.292,-3.149352430986625e-17,0,False
N V,1242.804,1.0101184362279312e-16,1.900675017130794e-17,True
S II,1259.519,-3.3210319685232455e-17,0,True
Si II,1265.001,-3.222839855647902e-17,0,True
Si II,1304.369,-1.1110637903113677e-16,0,False
Si II,1533.43,-7.016903518670628e-17,0,True
C II,1323.952,-2.1118290320405623e-17,0,True
C II,1335.709,9.103700142935214e-17,1.71113259618018e-17,True
Fe XXI,1354.08,-2.1569352218597092e-17,0,False
Si IV,1402.77,8.043389634508209e-17,1.8472893649781814e-17,True
O IV,1407.383,-4.583021653820267e-17,0,True
S IV,1406.016,-3.7813711098083e-17,0,True
N IV,1486.496,-3.4163217588837845e-17,0,False
C IV,1550.772,5.873519223185344e-16,5.606489394274947e-17,True
He II,1640.42,1.8709529549627802e-16,4.386914040647361e-17,False
O III,1666.142,-7.581498550518877e-17,0,False
