Header,Value,Description
DATE,2025-01-19,date flux was calculated
FILENAME,spectra/h_hd165341_uvsum_1x_51779_spc.fits,name of the fits file used to for flux calc
FILETYPE,SCI,observation type of fits input file
TELESCP,HST,telescope used to measure spectrum
INSTRMNT,COS,active instrument to measure spectrum
GRATING,G130M,grating used to measure spectrum
TARGNAME,HD-165341A,name of star used in measurement
DOPPLER,-4.008553004510714 km/s,doppler shift used to measure flux
WIDTH,+/- 0.7 Angstroms,average peak width of the emissoin lines
RANGE,+/- 1.4 Angstroms,flux range used to isolate emission line
WIDTHPXL,114,average emission line peak width in pixels
UPRLIMIT,3*error,upper limit used for noise

Ion,Rest Wavelength,Flux,Error,Blended Line
C III,1176.372,1.5096028263634618e-13,4.552717366912122e-15,True
Si III,1206.499,2.455901786023527e-13,3.660711949662462e-15,False
Si III,1294.543,3.184607357448607e-15,5.2022288299521855e-16,False
Si III,1296.726,3.4575963483000922e-15,4.487599474858434e-16,False
Si III,1298.944,1.137690992905656e-14,5.377759199970817e-16,True
Si III,1301.147,-1.6028618050749844e-15,0,False
Si III,1303.323,3.707088201570611e-15,5.0549581172461165e-16,False
O V,1218.39,-8.131600117580822e-15,0,False
O V,1371.292,4.254160424947365e-15,4.2904899251452147e-16,False
N V,1238.821,4.524298427157966e-14,1.1269760615172282e-15,False
N V,1242.804,2.46571432938384e-14,7.816808749131745e-16,False
S II,1253.811,5.155469449198592e-15,5.123346221131003e-16,False
S II,1259.519,5.844206802347957e-15,5.545204478909954e-16,False
Si II,1260.417,1.4326771083691154e-14,7.159085837684782e-16,False
Si II,1265.001,4.5778918459112e-14,8.570366622817907e-16,True
Si II,1304.369,-3.977084004277689e-15,0,False
Si II,1526.706,3.656049991269385e-14,1.0141085314500718e-15,False
Si II,1533.43,4.222583248172048e-14,1.614683652631015e-15,False
C II,1323.952,-1.4055819193282387e-15,0,True
C II,1335.709,4.438664782126203e-13,2.3457550458173855e-15,True
Fe XXI,1354.08,-1.4610721678832956e-15,0,False
Si IV,1393.755,1.4118892372065854e-13,1.3780865219156108e-15,False
Si IV,1402.77,7.484493140102331e-14,1.2971264857475087e-15,False
O IV,1401.171,1.1881498194298788e-14,7.443013331876242e-16,True
O IV,1407.383,-1.4835235719278864e-15,0,False
S IV,1406.016,-2.382862196201289e-15,0,True
N IV,1486.496,-2.323044632405193e-15,0,False
C IV,1548.201,2.557275715760221e-13,2.8709168648458896e-15,False
C IV,1550.772,1.3836666378114327e-13,2.318274866884589e-15,False
He II,1640.42,2.194011403827425e-13,3.2130639832123208e-15,False
O III,1666.142,-4.135553237045285e-15,0,False
