Header,Value,Description
DATE,2025-01-19,date flux was calculated
FILENAME,spectra/hst_16003_cos_hd-165341b_g130m-g160m_le5s_cspec.fits,name of the fits file used to for flux calc
FILETYPE,SCI,observation type of fits input file
TELESCP,HST,telescope used to measure spectrum
INSTRMNT,COS,active instrument to measure spectrum
GRATING,G130M,grating used to measure spectrum
TARGNAME,HD-165341B-1,name of star used in measurement
DOPPLER,1.3898897758500337 km/s,doppler shift used to measure flux
WIDTH,+/- 0.7 Angstroms,average peak width of the emissoin lines
RANGE,+/- 1.4 Angstroms,flux range used to isolate emission line
WIDTHPXL,69,average emission line peak width in pixels
UPRLIMIT,3*error,upper limit used for noise

Ion,Rest Wavelength,Flux,Error,Blended Line
C III,1176.372,2.892056047009766e-14,5.920802750617485e-16,True
Si III,1206.499,2.306570854940016e-14,6.204891211768614e-16,False
Si III,1294.543,-2.8796552318758674e-16,0,False
Si III,1296.726,-2.917018467137355e-16,0,False
Si III,1298.944,-3.881263274838823e-16,0,True
Si III,1301.147,-4.0214954571167803e-16,0,False
Si III,1303.323,-3.261653968072164e-16,0,False
O V,1371.292,1.0188418964590997e-15,1.207283704447527e-16,False
N V,1238.821,1.272567764946278e-14,3.8929616303717926e-16,False
N V,1242.804,6.521202623460473e-15,2.628036513436233e-16,False
S II,1253.811,8.081846164617094e-16,1.3153333579584514e-16,False
S II,1259.519,1.2390951967175005e-15,1.311435974540942e-16,False
Si II,1260.417,2.840635019679847e-15,1.7343251553545732e-16,False
Si II,1265.001,8.253709526940285e-15,2.8252175285531876e-16,True
Si II,1304.369,-1.5404507920272892e-15,0,False
Si II,1533.43,5.241189223993792e-15,7.691361695287163e-16,False
C II,1323.952,-3.441712853508597e-16,0,True
C II,1335.709,9.413699496150539e-14,9.642908506588093e-16,True
Fe XXI,1354.08,-3.269455694861271e-16,0,False
Si IV,1393.755,1.5494771643355557e-14,3.961543735751478e-16,False
Si IV,1402.77,7.280812605679532e-15,2.930553848325244e-16,False
O IV,1401.171,1.9366226480071305e-15,1.908350516321574e-16,True
O IV,1407.383,-3.078873415830703e-16,0,False
S IV,1406.016,1.252014058456499e-15,1.4817305128063287e-16,True
N IV,1486.496,-5.077857633918756e-16,0,False
C IV,1548.201,5.2967789260313636e-14,1.1218574711638715e-15,False
C IV,1550.772,2.8708112481479825e-14,8.369528990045869e-16,False
He II,1640.42,5.729388571964154e-14,1.3006823128531326e-15,False
O III,1666.142,-1.1071215164821701e-15,0,False
