Header,Value,Description
DATE,2025-01-19,date flux was calculated
FILENAME,spectra/hst_16253_cos_hd-165341b_g130m-g160m_lea9_cspec.fits,name of the fits file used to for flux calc
FILETYPE,SCI,observation type of fits input file
TELESCP,HST,telescope used to measure spectrum
INSTRMNT,COS,active instrument to measure spectrum
GRATING,G130M,grating used to measure spectrum
TARGNAME,HD-165341B-2,name of star used in measurement
DOPPLER,-0.22252302990593892 km/s,doppler shift used to measure flux
WIDTH,+/- 0.7 Angstroms,average peak width of the emissoin lines
RANGE,+/- 1.4 Angstroms,flux range used to isolate emission line
WIDTHPXL,69,average emission line peak width in pixels
UPRLIMIT,3*error,upper limit used for noise

Ion,Rest Wavelength,Flux,Error,Blended Line
C III,1176.372,4.0890825038892773e-14,7.064363177386419e-16,True
Si III,1206.499,3.395212244061802e-14,8.232662583473667e-16,False
Si III,1294.543,-3.1829613348673347e-16,0,False
Si III,1296.726,-3.2372259813921723e-16,0,False
Si III,1298.944,1.523176147212961e-15,1.387121168587798e-16,True
Si III,1301.147,-5.592242812342827e-16,0,False
Si III,1303.323,-3.8690550920183826e-16,0,False
O V,1371.292,1.2674958478927539e-15,1.4724388602106578e-16,False
N V,1238.821,1.8225741469334716e-14,4.3759540013094213e-16,False
N V,1242.804,8.502192137941616e-15,3.1408242236656696e-16,False
S II,1253.811,-3.8593862220322497e-16,0,False
S II,1259.519,1.1952438003260005e-15,1.4171308875379494e-16,False
Si II,1260.417,3.2451359863985286e-15,1.873877148021722e-16,False
Si II,1265.001,9.57775222883735e-15,2.9955403360491524e-16,True
Si II,1304.369,-1.8125110054674996e-15,0,False
Si II,1533.43,4.0326299733243634e-15,6.641254720653653e-16,False
C II,1323.952,-3.413283946637204e-16,0,True
C II,1335.709,1.2388781042901885e-13,1.1080596699774277e-15,True
Fe XXI,1354.08,-3.938509968934514e-16,0,False
Si IV,1393.755,1.879425509092345e-14,4.620296995987439e-16,False
Si IV,1402.77,9.807663340964625e-15,3.342012527866147e-16,False
O IV,1401.171,2.718617346840383e-15,2.1488582090448628e-16,True
O IV,1407.383,6.997856194559771e-16,1.2558714424641063e-16,False
S IV,1406.016,1.157375283566424e-15,1.6546660424042726e-16,True
N IV,1486.496,1.1100431756762435e-15,1.982812590537984e-16,False
C IV,1548.201,7.328805269325495e-14,1.3804382922974796e-15,False
C IV,1550.772,3.6918725929528655e-14,9.87193269059192e-16,False
He II,1640.42,7.831416154148534e-14,1.5908646812306371e-15,False
O III,1666.142,-1.2096747117932391e-15,0,False
