Header,Value,Description
DATE,2025-01-19,date flux was calculated
FILENAME,spectra/hst_16787_cos_hd-165341b_g130m-g160m_lemb_cspec.fits,name of the fits file used to for flux calc
FILETYPE,SCI,observation type of fits input file
TELESCP,HST,telescope used to measure spectrum
INSTRMNT,COS,active instrument to measure spectrum
GRATING,G130M,grating used to measure spectrum
TARGNAME,HD-165341B-3,name of star used in measurement
DOPPLER,-1.3080573097588069 km/s,doppler shift used to measure flux
WIDTH,+/- 0.7 Angstroms,average peak width of the emissoin lines
RANGE,+/- 1.4 Angstroms,flux range used to isolate emission line
WIDTHPXL,69,average emission line peak width in pixels
UPRLIMIT,3*error,upper limit used for noise

Ion,Rest Wavelength,Flux,Error,Blended Line
C III,1176.372,2.801995828645738e-14,4.2681843534496403e-16,True
Si III,1206.499,2.2794674787900067e-14,4.4393046868029044e-16,False
Si III,1294.543,-1.9054861663809157e-16,0,False
Si III,1296.726,-1.9635389445643304e-16,0,False
Si III,1298.944,1.2280838889124284e-15,8.674465218426497e-17,True
Si III,1301.147,-2.521750626095623e-16,0,False
Si III,1303.323,-2.1717285865432536e-16,0,False
O V,1371.292,1.0525307037307033e-15,8.935329463827695e-17,False
N V,1238.821,1.237393494483228e-14,2.750021693214072e-16,False
N V,1242.804,6.086296121751896e-15,1.958795992378046e-16,False
S II,1253.811,-2.519028518031608e-16,0,False
S II,1259.519,7.251881496432894e-16,8.19748890440758e-17,False
Si II,1260.417,2.1817211257437145e-15,1.143269470650347e-16,False
Si II,1265.001,6.063596265950099e-15,1.788784500590273e-16,True
Si II,1304.369,-9.941749714163712e-16,0,False
Si II,1533.43,4.235098394586017e-15,5.006388030415335e-16,False
C II,1323.952,-2.096002549046917e-16,0,True
C II,1335.709,8.606839573927848e-14,6.903145798236739e-16,True
Fe XXI,1354.08,-2.2379230683472837e-16,0,False
Si IV,1393.755,1.845589912219364e-14,3.4957931504912363e-16,False
Si IV,1402.77,1.055081863166752e-14,2.502569724511152e-16,False
O IV,1401.171,2.3960421038048314e-15,1.337525978228169e-16,True
O IV,1407.383,4.036110325167466e-16,7.26085290529417e-17,False
S IV,1406.016,7.901505267245353e-16,9.769837384363532e-17,True
N IV,1486.496,-3.584434733158187e-16,0,False
C IV,1548.201,6.878583553898254e-14,1.0035975959169686e-15,False
C IV,1550.772,3.130519440149295e-14,7.326191149603117e-16,False
He II,1640.42,5.857849111762374e-14,1.0247396239644943e-15,False
O III,1666.142,-7.30214364742156e-16,0,False
