Header,Value,Description
DATE,2025-01-19,date flux was calculated
FILENAME,spectra/hst_17406_cos_hd-165341b_g130m-g160m_lf6s_cspec.fits,name of the fits file used to for flux calc
FILETYPE,SCI,observation type of fits input file
TELESCP,HST,telescope used to measure spectrum
INSTRMNT,COS,active instrument to measure spectrum
GRATING,G130M,grating used to measure spectrum
TARGNAME,HD-165341B-4,name of star used in measurement
DOPPLER,-3.459600533523147 km/s,doppler shift used to measure flux
WIDTH,+/- 0.7 Angstroms,average peak width of the emissoin lines
RANGE,+/- 1.4 Angstroms,flux range used to isolate emission line
WIDTHPXL,69,average emission line peak width in pixels
UPRLIMIT,3*error,upper limit used for noise

Ion,Rest Wavelength,Flux,Error,Blended Line
C III,1176.372,3.482821747404806e-14,7.236302216003307e-16,True
Si III,1206.499,2.3836037093085135e-14,6.065195957374843e-16,False
Si III,1294.543,8.4052356637721225e-16,1.3536144717429267e-16,False
Si III,1296.726,-4.1390782217633535e-16,0,False
Si III,1298.944,1.9239275623167217e-15,1.7631737618145637e-16,True
Si III,1301.147,-5.140150330406438e-16,0,False
Si III,1303.323,-4.499554978233601e-16,0,False
O V,1371.292,1.3934531771818865e-15,1.7288098306820044e-16,False
N V,1238.821,2.1397686522666267e-14,5.859291760189075e-16,False
N V,1242.804,9.300529960873207e-15,3.780366557841637e-16,False
S II,1253.811,-5.089530014267762e-16,0,False
S II,1259.519,1.2157136976761121e-15,1.7501335405548907e-16,False
Si II,1260.417,3.743002642101451e-15,2.233319630076947e-16,False
Si II,1265.001,1.0128528874558999e-14,3.579660253121375e-16,True
Si II,1304.369,-2.0211852881612213e-15,0,False
Si II,1533.43,7.875847909573474e-15,1.1800872825810635e-15,False
C II,1323.952,-4.623675979890958e-16,0,True
C II,1335.709,1.4314690439761321e-13,1.3893520827599707e-15,True
Fe XXI,1354.08,-4.5031224239327945e-16,0,False
Si IV,1393.755,2.5332016647120124e-14,5.95400439771202e-16,False
Si IV,1402.77,1.168403204024573e-14,4.2960495616506637e-16,False
O IV,1401.171,3.2376316625709886e-15,2.7756926600300635e-16,True
O IV,1407.383,-4.499777750929719e-16,0,False
S IV,1406.016,1.3744574379280753e-15,1.9937707086459368e-16,True
N IV,1486.496,1.3366719050625832e-15,2.2294724262925797e-16,False
C IV,1548.201,9.014836729246267e-14,1.793585898521609e-15,False
C IV,1550.772,4.856762851229521e-14,1.3436325011390481e-15,False
He II,1640.42,1.0253779605388777e-13,2.1063722209849023e-15,False
O III,1666.142,-1.4193914222692776e-15,0,False
