Header,Value,Description
DATE,2024-08-08,date flux was calculated
FILENAME,spectra/hlsp_muscles_hst_stis_hd_80606_g140l_v1_component-spec.fits,name of the fits file used to for flux calc
FILETYPE,SCI,observation type of fits input file
TELESCP,HST,telescope used to measure spectrum
INSTRMNT,STIS,active instrument to measure spectrum
GRATING,G140L,grating used to measure spectrum
TARGNAME,HD-80606,name of star used in measurement
DOPPLER,76.84668354821443 km/s,doppler shift used to measure flux
WIDTH,+/- 6.0 Angstroms,average peak width of the emissoin lines
RANGE,+/- 12.0 Angstroms,flux range used to isolate emission line
WIDTHPXL,10,average emission line peak width in pixels
UPRLIMIT,3*error,upper limit used for noise

Ion,Rest Wavelength,Flux,Error,Blended Line
C III,1176.372,-2.947771236568369e-16,0,True
Si III,1206.499,-7.465112544389739e-16,0,False
Si III,1303.323,-8.702835953209792e-16,0,True
O V,1218.39,-2.6584538188472113e-15,0,False
O V,1371.292,-6.124361429061273e-17,0,False
N V,1242.804,-1.0157639571447244e-16,0,True
S II,1259.519,6.949145274860023e-17,3.507418166489079e-17,True
Si II,1265.001,1.1259552180365972e-16,3.344650940240807e-17,True
Si II,1304.369,-8.680362004786999e-16,0,False
Si II,1533.43,-1.575838902656649e-16,0,True
C II,1323.952,-4.696055531464118e-17,0,True
C II,1335.709,7.176672427081791e-16,4.5896796277767e-17,True
Fe XXI,1354.08,-9.124524035317984e-17,0,False
Si IV,1402.77,7.084736925978367e-16,6.586011759643435e-17,True
O IV,1407.383,-1.9855738448018703e-16,0,True
S IV,1406.016,-1.5969345068166527e-16,0,True
N IV,1486.496,-1.4916294474232823e-16,0,False
C IV,1550.772,1.1128415126581464e-15,6.695414881837978e-17,True
He II,1640.42,-1.139325430425007e-15,0,False
O III,1666.142,-3.7819865191320163e-16,0,False
