Header,Value,Description
DATE,2024-11-12,date flux was calculated
FILENAME,spectra/h_hd165341_uvsum_1x_51779_spc.fits,name of the fits file used to for flux calc
FILETYPE,SCI,observation type of fits input file
TELESCP,HST,telescope used to measure spectrum
INSTRMNT,STIS,active instrument to measure spectrum
GRATING,E140M,grating used to measure spectrum
TARGNAME,HD165341,name of star used in measurement
DOPPLER,-4.153988961394361 km/s,doppler shift used to measure flux
WIDTH,+/- 0.5 Angstroms,average peak width of the emissoin lines
RANGE,+/- 1.0 Angstroms,flux range used to isolate emission line
WIDTHPXL,81,average emission line peak width in pixels
UPRLIMIT,3*error,upper limit used for noise

Ion,Rest Wavelength,Flux,Error,Blended Line
C III,1176.372,1.4515403611715473e-13,4.4083811658229806e-15,True
Si III,1206.499,2.4192366793779385e-13,3.1774107646607184e-15,False
Si III,1303.323,1.2420017020705026e-13,1.575696681255385e-15,True
O V,1218.39,4.837155486693597e-14,2.355870078132394e-15,False
O V,1371.292,3.559432938631988e-15,3.800062768889907e-16,False
N V,1242.804,7.28102883966816e-14,1.5899688525775988e-15,True
S II,1259.519,1.0380418277092828e-14,1.0937228090866303e-15,True
Si II,1265.001,6.541706002552451e-14,1.3006875540446726e-15,True
Si II,1304.369,8.698856067866939e-14,1.18036973676258e-15,False
Si II,1533.43,8.094785060859402e-14,2.291096673832896e-15,True
C II,1323.952,2.100684706345996e-15,4.178899769564226e-16,True
C II,1335.709,4.20565120463536e-13,2.3260405049228267e-15,True
Fe XXI,1354.08,1.0800205772128207e-15,4.133187139341282e-16,False
Si IV,1402.77,2.299814678135673e-13,2.16913750465458e-15,True
O IV,1407.383,9.680696133398657e-14,1.8064114766383038e-15,True
S IV,1406.016,4.351269527662267e-15,7.377190318964484e-16,True
N IV,1486.496,4.0043872382227714e-15,6.292441577133366e-16,False
C IV,1550.772,2.4385131894985047e-13,3.855206656634473e-15,True
He II,1640.42,2.1126011665133456e-13,3.121883840445785e-15,False
O III,1666.142,7.213671175131739e-15,1.2044228410549112e-15,False
