Header,Value,Description
DATE,2025-02-13,date flux was calculated
FILENAME,spectra/hlsp_muscles_hst_stis_k2-141_g140l_v1_component-spec.fits,name of the fits file used for flux calc
FILETYPE,SCI,observation type of fits input file
TELESCP,HST,telescope used to measure spectrum
INSTRMNT,STIS,active instrument to measure spectrum
GRATING,G140L,grating used to measure spectrum
TARGNAME,K2-141,name of star used in measurement
DOPPLER,94.27330909537125 km/s,doppler shift used to measure flux
WIDTH,+/- 6.0 Angstroms,average peak width of the emission lines
RANGE,+/- 12.0 Angstroms,flux range used to isolate emission line
WIDTHPXL,10,average emission line peak width in pixels
UPRLIMIT,3*error,upper limit used for noise

Ion,Rest Wavelength,Flux,Error,Blended Line
C III,1176.372,2.276764583195542e-16,6.812764415487939e-17,True
Si III,1206.499,-8.005693926726562e-16,0,False
Si III,1303.323,-2.7959209287415356e-16,0,True
O V,1218.39,-5.225191952214233e-15,0,False
O V,1371.292,-3.720697080451826e-17,0,False
N V,1242.804,-1.0562174147367734e-16,0,True
S II,1253.811,-5.407461679292386e-17,0,False
S II,1259.519,-5.269332022730533e-17,0,False
Si II,1265.001,-5.0134025945363307e-17,0,True
Si II,1304.369,7.065373803451301e-16,9.287940335825336e-17,False
Si II,1526.706,-8.552655839092243e-17,0,False
Si II,1533.43,-9.840474288494829e-17,0,False
C II,1323.952,-4.890853205619468e-17,0,True
C II,1335.709,6.71021952575282e-16,1.188828096405603e-16,True
Fe XXI,1354.08,-5.209662955365137e-17,0,False
Si IV,1393.755,2.4578105432919546e-16,3.850662732650186e-17,False
Si IV,1402.77,1.3606081632374988e-16,2.3519203979100253e-17,False
O IV,1401.171,2.133214008530475e-16,3.2831165247923336e-17,True
O IV,1407.383,6.232964279894553e-17,1.3561209441677129e-17,False
S IV,1406.016,1.9053913931305782e-16,2.229447691180953e-17,True
N IV,1486.496,-4.2751459010832255e-17,0,False
C IV,1550.772,1.1071936199961848e-15,1.7186061919028436e-16,True
He II,1640.42,5.210019998066937e-16,1.7627526939449038e-16,False
O III,1666.142,-2.00170228473794e-16,0,False
