Header,Value,Description
DATE,2024-08-08,date flux was calculated
FILENAME,spectra/hlsp_muscles_hst_stis_toi-402_g140l_v1_component-spec.fits,name of the fits file used to for flux calc
FILETYPE,SCI,observation type of fits input file
TELESCP,HST,telescope used to measure spectrum
INSTRMNT,STIS,active instrument to measure spectrum
GRATING,G140L,grating used to measure spectrum
TARGNAME,TOI-402,name of star used in measurement
DOPPLER,127.4796640701361 km/s,doppler shift used to measure flux
WIDTH,+/- 7.0 Angstroms,average peak width of the emissoin lines
RANGE,+/- 14.0 Angstroms,flux range used to isolate emission line
WIDTHPXL,11,average emission line peak width in pixels
UPRLIMIT,3*error,upper limit used for noise

Ion,Rest Wavelength,Flux,Error,Blended Line
C III,1176.372,-1.1650508784105515e-15,0,True
Si III,1206.499,1.147811136114915e-15,3.0726017779106187e-16,False
Si III,1303.323,-6.023040787856847e-16,0,True
O V,1218.39,-2.050482790266716e-15,0,False
O V,1371.292,-3.804740296682671e-16,0,False
N V,1242.804,-4.88993710652767e-16,0,True
S II,1259.519,-4.694788726498853e-16,0,True
Si II,1265.001,-4.501938056910872e-16,0,True
Si II,1304.369,-5.321918336490595e-16,0,False
Si II,1533.43,-8.570205826357314e-16,0,True
C II,1323.952,-3.4064400199020704e-16,0,True
C II,1335.709,1.4710488375311471e-15,1.6657860271711714e-16,True
Fe XXI,1354.08,6.365683470573965e-16,1.4091233165439986e-16,False
Si IV,1402.77,1.402611458162915e-15,1.9912162483512878e-16,True
O IV,1407.383,3.447265104944275e-16,1.8849098273366502e-16,True
S IV,1406.016,-4.359596153799496e-16,0,True
N IV,1486.496,-5.612946736939347e-16,0,False
C IV,1550.772,1.6025505986725359e-15,3.00604348046123e-16,True
He II,1640.42,1.124133228192897e-15,3.4373650510687747e-16,False
O III,1666.142,-1.1490492142010994e-15,0,False
