#WAVELENGTH FLUX
3002.5878803466303 1.2948152207543917e-13
3005.333698747766 9.720568398602011e-14
3008.079537137282 9.999566143647706e-14
3010.825395451378 1.1231818833291538e-13
3013.5712736262453 1.1518722445053725e-13
3016.317171598072 1.1177187241072709e-13
3019.0630893030434 8.732266618778281e-14
3021.809026677338 1.0291106074949985e-13
3024.554983657129 1.1007233129524743e-13
3027.300960178589 1.1846228750549137e-13
3030.0469561778814 9.376647949841527e-14
3032.792971591167 1.2102027279609073e-13
3035.5390063546033 1.2463440652796254e-13
3038.285060404341 1.2437594628256915e-13
3041.0311336765285 1.0044587638860167e-13
3043.7772261073087 1.17818881278757e-13
3046.5233376328183 1.1182378536599841e-13
3049.269468189193 1.0539805112659215e-13
3052.015617712562 1.254888256025169e-13
3054.761786139049 1.4015814875888155e-13
3057.507973404776 1.2776626002845848e-13
3060.2541794458593 1.1857134469151626e-13
3063.0004041984107 9.202088689565929e-14
3065.746647598536 1.3944079994398367e-13
3068.4929095823404 1.24258703370142e-13
3071.2391900859225 9.520722833158621e-14
3073.985489045376 1.2437125710817315e-13
3076.7318063967914 1.1185561347602443e-13
3079.4781420762547 1.1369354622255828e-13
3082.2244960198477 1.0614376538082768e-13
3084.970868163647 1.4279820815393807e-13
3087.7172584437267 1.5905964154301622e-13
3090.4636667961545 1.1483828753384995e-13
3093.2100931569967 1.2330883384682745e-13
3095.956537462312 1.306933077385719e-13
3098.702999648158 1.0886338488655389e-13
3101.449479650586 1.0215651024755856e-13
3104.195977405644 1.0713283558894116e-13
3106.9424928493763 1.1808716710633854e-13
3109.6890259178213 1.2651162127445825e-13
3112.435576547017 1.4738758173996058e-13
3115.1821446729923 1.7046825377068503e-13
3117.9287302317753 1.500482816338758e-13
3120.6753331593895 1.1394879451901568e-13
3123.4219533918545 1.0565486473993607e-13
3126.168590865185 1.283532877422236e-13
3128.9152455153917 1.2942313778845083e-13
3131.661917278483 1.3295473662994217e-13
3134.408606090461 1.364263113286593e-13
3137.1553118873253 1.2248242784590468e-13
3139.9020346050715 1.4556417052627446e-13
3142.6487741796896 1.3227851973496296e-13
3145.3955305471677 1.2114120199590434e-13
3148.1423036434894 1.2599230198636485e-13
3150.8890934046335 1.247639822401017e-13
3153.635899766576 1.3158193339166818e-13
3156.3827226652893 1.3334175614793803e-13
3159.1295620367396 1.32450460646992e-13
3161.876417816893 1.0632824238047608e-13
3164.6232899417073 9.967326036796134e-14
3167.37017834714 1.1462789810227914e-13
3170.1170829691446 1.2748883979757375e-13
3172.864003743668 1.3367239715296464e-13
3175.610940606656 1.3616076311156328e-13
3178.35789349405 1.44126979231482e-13
3181.104862341788 1.314459473341842e-13
3183.8518470858016 1.1062695491658239e-13
3186.598847662023 8.828635251253297e-14
3189.345864006378 1.2478306419833746e-13
3192.092896054789 1.3420376463769979e-13
3194.839943743175 1.356871564975673e-13
3197.5870070074507 1.2797697472068104e-13
3200.3340857835283 1.2449879994123891e-13
3203.0811800073166 1.4661423388285383e-13
3205.8282896147184 1.5454999747425285e-13
3208.575414541636 1.4957303516409393e-13
3211.3225547239654 1.5515079455560854e-13
3214.069710097601 1.3845418951954902e-13
3216.8168805984333 1.264636995384344e-13
3219.5640661623474 1.1908527007380154e-13
3222.3112667252285 1.443088948034979e-13
3225.0584822229544 1.4956745152290563e-13
3227.8057125914015 1.4163965681747437e-13
3230.552957766444 1.1592681296249824e-13
3233.3002176839486 1.1435619703785427e-13
3236.047492279782 1.3132720009124271e-13
3238.7947814898066 1.1565211678957188e-13
3241.542085249882 1.1483121311467448e-13
3244.2894034958617 1.3317226824332423e-13
3247.0367361636 1.411494483577122e-13
3249.784083188943 1.3054427059743662e-13
3252.531444507738 1.2914321034004222e-13
