#WAVELENGTH FLUX ERROR
1140.3027656418933 -5.210973666458507e-11 0.0
1140.3150938369834 2.218679985555288e-15 0.0
1140.3274217882804 2.0254775287553706e-11 0.0
1140.3397494957987 -1.844587156629718e-11 0.0
1140.3520769595527 2.322215510164316e-11 0.0
1140.3644041795567 3.1246611743342145e-14 0.0
1140.3767311558256 -1.2601886548169183e-11 0.0
1140.389057888373 5.550657589808994e-13 0.0
1140.401384377214 3.9171481813413123e-13 0.0
1140.413710622363 1.8350629989085515e-15 0.0
1140.4260366238348 4.2403906774790556e-11 0.0
1140.4383623816432 2.83366347964345e-13 0.0
1140.450687895803 3.799594373941201e-13 0.0
1140.4630131663282 6.464438359610192e-13 0.0
1140.4753381932335 1.4046340479634267e-11 0.0
1140.487662976534 1.8341769075780334e-12 0.0
1140.4999875162434 3.110530930050537e-12 0.0
1140.5123118123763 5.757475052270422e-10 0.0
1140.524635864947 -5.247102231875633e-12 0.0
1140.5369596739704 -1.7003992614991748e-12 0.0
1140.5492832394602 -1.3483354710519535e-10 0.0
1140.5616065614315 -4.741096295939051e-13 0.0
1140.5739296398988 -3.2625196489700914e-13 0.0
1140.5862524748761 -2.1315246659728282e-13 0.0
1140.5985750663779 2.123003785573993e-13 0.0
1140.6108974144188 2.8147273465999045e-13 0.0
1140.6232195190132 -3.217373199457252e-13 0.0
1140.6355413801755 -4.00139126612584e-15 0.0
1140.64786299792 -1.7608905260031553e-14 0.0
1140.6601843722615 -2.3549632838411327e-13 0.0
1140.6725055032136 -2.179802562410349e-13 5.920798248383596e-14
1140.6848263907916 -1.9404493474279444e-13 5.701876823341681e-14
1140.6971470350095 -3.779901044942413e-11 2.3993971740021713e-11
1140.7094674358818 -3.694223746353309e-13 6.916259828303878e-14
1140.7217875934232 -1.354676597677476e-13 4.8421377042522085e-14
1140.7341075076476 -1.862761334070484e-11 1.4891352040358186e-11
1140.7464271785698 -2.1220396587921103e-13 4.1855462238477026e-14
1140.7587466062039 -2.3313742971743656e-13 4.149049607029588e-14
