#WAVELENGTH FLUX ERROR
1140.3037697720204 2.1116784536256983e-12 0.0
1140.3160979457336 1.1906657083893268e-11 0.0
1140.3284258756553 -1.933475428372855e-11 0.0
1140.3407535617998 -5.203755178498359e-13 0.0
1140.3530810041807 -7.603335821192159e-13 0.0
1140.365408202813 -5.652503747184678e-13 0.0
1140.3777351577114 -2.5060217789807382e-11 0.0
1140.39006186889 -8.750014059664968e-13 0.0
1140.402388336363 1.9214367943942712e-11 0.0
1140.4147145601455 -9.87088557592719e-13 0.0
1140.427040540252 -3.694614753024794e-11 0.0
1140.4393662766959 5.687599349823991e-11 0.0
1140.4516917694925 -1.5996585566585564e-12 0.0
1140.4640170186567 -5.82470668919477e-11 0.0
1140.4763420242018 -1.472604373511932e-12 0.0
1140.4886667861426 -2.7097562475125736e-12 0.0
1140.500991304494 3.537568502021138e-11 0.0
1140.5133155792703 -3.657583350774596e-12 0.0
1140.5256396104858 -7.282847241940615e-11 0.0
1140.5379633981552 -2.2084188644466707e-10 0.0
1140.5502869422921 2.7718881877303314e-12 0.0
1140.562610242912 1.79241311463324e-12 0.0
1140.5749333000288 1.2932271356222436e-12 0.0
1140.5872561136568 -7.063125778694612e-11 0.0
1140.599578683811 1.484177906442563e-12 0.0
1140.611901010505 1.3224114728607739e-12 0.0
1140.624223093754 1.1304221447794305e-12 0.0
1140.6365449335717 9.492257240645285e-13 0.0
1140.6488665299737 1.3496270073742878e-11 0.0
1140.6611878829733 5.5221938133342974e-11 0.0
1140.6735089925853 -1.634917201620567e-11 2.0403442824168394e-11
1140.6858298588243 6.345320861626813e-13 1.0531727806474198e-13
1140.698150481704 -1.3863509298883692e-11 1.7097571622382013e-11
1140.7104708612399 6.854237771976301e-13 1.0430412501587216e-13
1140.7227909974458 6.106988287464532e-13 9.041418059119871e-14
1140.7351108903363 5.402018892972094e-13 9.021268161744228e-14
1140.7474305399253 -5.802570229862525e-12 2.274461868845279e-11
1140.7597499462279 4.3887845289393435e-13 8.088529032754949e-14
1140.7720691092582 -6.909875232760654e-13 1.272591081992458e-12
1140.7843880290304 2.8439424426540683e-11 1.979872689406026e-11
1140.7967067055597 3.264283103803639e-13 6.348122304515244e-14
1140.8090251388596 3.1860283725496097e-13 5.851129449658751e-14
1140.8213433289452 2.8799483414373994e-13 6.373908020308738e-14
1140.8336612758303 3.229381551669158e-13 6.332299729060534e-14
1140.8459789795297 -7.683173541828126e-12 6.815537717530518e-12
1140.8582964400575 -2.301298474699509e-12 3.0834321641109996e-12
1140.8706136574287 -9.376794479765138e-12 1.6729938615012152e-11
1140.8829306316568 1.210165187460685e-13 4.927511849071864e-14
1140.8952473627571 -2.589319167065063e-12 3.2334477977069565e-12
1140.9075638507431 1.2591196260538368e-13 4.3276769971442586e-14
1140.9198800956303 -6.1085754510248336e-12 5.193092050131964e-12
1140.9321960974323 1.7927831799397637e-13 4.448535723816649e-14
1140.9445118561637 -5.683124110200666e-12 4.768676772903824e-12
1140.9568273718385 2.055829736048037e-13 4.0096757565697555e-14
1140.9691426444715 1.5695684498200774e-13 3.5537179210627656e-14
1140.9814576740775 1.254173766793501e-13 2.9311368463695933e-14
1140.9937724606698 9.771512348181674e-14 2.8830206315810444e-14
1141.006087004264 1.2411060135338048e-13 2.7537278284462535e-14
1141.0184013048738 8.172423241609161e-14 2.6736589897884307e-14
1141.0307153625135 -4.735953382933866e-12 3.9375737913294184e-12
1141.0430291771977 -4.8168604521725555e-12 4.020378214369957e-12
1141.0553427489403 -4.544023143870923e-12 3.809705155510823e-12
1141.0676560777567 -1.2245812003319756e-12 8.074271286295787e-12
1141.079969163661 8.021704231853805e-14 2.4360288092273308e-14
1141.092282006667 5.582078243106074e-14 2.3520612473198858e-14
1141.1045946067884 5.990497594504651e-12 5.964235615801838e-12
1141.1169069640418 9.159589319657213e-13 7.356859912932556e-12
1141.1292190784397 1.3422867418261264e-13 3.022882034205317e-14
1141.1415309499973 1.4479238120979065e-13 3.2763349596277164e-14
1141.1538425787282 1.2212233719936794e-13 2.7996193959021337e-14
1141.1661539646482 1.6087688635684633e-13 3.157775419187353e-14
1141.1784651077699 1.6122345158128132e-13 3.087729860207569e-14
1141.1907760081087 1.0326914670621967e-11 7.235630931218262e-12
1141.203086665679 9.948557819564052e-14 2.4198930009887258e-14
1141.2153970804948 9.657010434371838e-14 2.4316733658125492e-14
1141.2277072525708 1.1360739958369073e-13 2.5874283252525117e-14
1141.2400171819213 4.420063707405442e-12 4.666353674992463e-12
1141.25232686856 -5.040425542224281e-13 5.223346061233869e-12
1141.2646363125023 -2.8936427906578466e-12 3.5904801267555575e-12
1141.2769455137618 4.7031822880683194e-14 2.4937127693748853e-14
1141.289254472353 4.470720871957955e-14 2.4885275724849734e-14
1141.3015631882904 2.3827014580118933e-12 3.2811071568050743e-12
1141.3138716615888 3.211418354550147e-14 2.5217390567204567e-14
1141.3261798922613 -1.8888222742466506e-15 2.34230224192139e-14
1141.3384878803233 5.190715478969876e-14 2.5319888330085916e-14
1141.3507956257888 6.228005578704648e-14 2.4899377129355624e-14
1141.3631031286723 -2.791428546644603e-12 3.2080098126552326e-12
1141.3754103889876 -2.7677320071223255e-12 2.8467165690687635e-12
1141.3877174067502 1.4708323941388032e-14 2.7000521976116958e-14
1141.400024181973 -1.3138913344628005e-14 2.879891014247529e-14
1141.4123307146717 3.689432440112661e-12 3.690319317489754e-12
1141.4246370048595 -2.6136844424873296e-12 2.4598530677655273e-12
1141.4369430525512 2.4411684357446804e-14 3.1163775309232464e-14
1141.4492488577614 -2.488562958133378e-12 2.3152194137537885e-12
1141.461554420504 -4.985789992667522e-12 2.862375050524668e-12
1141.4738597407934 -2.3610872371820912e-12 2.3430849274697074e-12
1141.4861648186445 2.7608067741657916e-12 3.0992751767766613e-12
1141.498469654071 3.434632135992932e-12 3.4038115208356867e-12
1141.510774247087 3.411208381737252e-12 3.3685849248898947e-12
1141.5230785977076 3.3753204224662436e-12 3.3516390617743808e-12
1141.5353827059466 3.606537540400828e-14 2.767312542854318e-14
1141.5476865718188 3.314744854467089e-14 2.838559363959898e-14
1141.5599901953378 -2.1315358332552048e-12 1.7922136214335027e-12
1141.5722935765186 1.2909440260755554e-14 2.4530895774443374e-14
1141.584596715375 -1.212251002705167e-12 1.442613173016638e-12
1141.5968996119218 -7.519703176112058e-13 8.983353340721867e-13
1141.609202266173 -2.934900044347655e-14 2.004847365053887e-14
1141.6215046781429 -2.0175011834766554e-12 1.62343445977986e-12
1141.6338068478456 3.764214634438545e-12 4.341060930862506e-12
1141.6461087752962 6.339853230070969e-14 2.264704875997066e-14
1141.6584104605083 2.865837992263587e-12 2.8089887187110474e-12
1141.6707119034966 2.783861466001958e-12 2.7239200478534897e-12
1141.6830131042752 8.213227867997011e-14 2.4906673471163272e-14
1141.6953140628582 5.4283175177083365e-12 3.7866328995994625e-12
1141.7076147792604 2.6629822479085075e-12 2.600971738334068e-12
1141.719915253496 2.174241926636896e-14 1.8444150896791862e-14
1141.732215485579 4.095998239477157e-14 2.082199599643276e-14
1141.7445154755235 2.232756216241985e-13 6.765920831409977e-13
1141.756815223345 2.50373962014383e-12 2.473324496599094e-12
1141.7691147290564 4.1564713097134304e-14 2.181842353272609e-14
1141.7814139926722 -1.6661286066088632e-12 1.3739988964298067e-12
1141.793713014208 -1.030776924590155e-14 1.722662912654032e-14
1141.8060117936761 2.371160559566654e-12 2.366003660353444e-12
1141.818310331092 2.3854937122869124e-12 2.3618223262550364e-12
1141.8306086264704 -5.439339384856684e-15 1.636989426390817e-14
1141.8429066798249 -1.3930811223279629e-14 1.6387739554040923e-14
1141.8552044911698 6.648934332796619e-13 2.7239866178668803e-12
1141.8675020605197 -3.1507799841401507e-12 1.6927149786016837e-12
1141.8797993878882 -3.745811440972885e-13 4.3090417302035777e-13
1141.8920964732902 -2.847443892543648e-14 1.4865133456847326e-14
1141.90439331674 -3.9082521940958515e-12 2.942578689393849e-12
1141.9166899182517 -1.4922038824309765e-14 1.3963963245802215e-14
1141.9289862778398 -2.5865212749387467e-12 2.9758715023447957e-12
1141.9412823955176 2.0550082902720535e-12 2.072981760206649e-12
1141.953578271301 1.1070642693582558e-14 1.6610934429708325e-14
1141.965873905203 1.3418065757889869e-14 1.79868276441739e-14
1141.9781692972388 8.140089114100444e-15 1.6877514332934093e-14
1141.9904644474213 1.9519258171590836e-12 1.9228431780843325e-12
1142.0027593557663 -1.3270712653778993e-12 1.3376790994334975e-12
1142.0150540222874 2.4288302150217954e-14 1.495180356207628e-14
1142.0273484469985 -4.149406091433352e-16 1.431431301344554e-14
1142.0396426299144 -3.831755130746274e-15 1.5107384879762056e-14
1142.0519365710495 1.0703530990946019e-14 1.6322180897989334e-14
1142.064230270418 -6.36146836739042e-16 1.5769959462092788e-14
1142.0765237280336 -3.126535827653078e-14 1.6501226722379948e-14
1142.0888169439104 -2.4049574384363802e-14 1.6795358913314004e-14
1142.1011099180641 1.2873629401811536e-14 1.6529158480848606e-14
1142.1134026505074 -1.6758378513628065e-15 1.572078750543878e-14
1142.1256951412554 1.7485532336283804e-12 1.7557538539367257e-12
1142.137987390322 -1.227210824281122e-12 1.3558747223932355e-12
1142.150279397722 -1.218432147710724e-12 1.3165151477659287e-12
1142.1625711634688 5.810077896226118e-13 2.169146806618727e-12
1142.1748626875774 5.204247189444233e-12 3.0003558231656013e-12
1142.1871539700617 -1.0764990244702122e-12 1.2858982541968933e-12
1142.1994450109357 -8.464842731923869e-14 1.053341780661056e-13
1142.2117358102141 1.5272587881864919e-12 2.5830581163593935e-12
1142.2240263679112 -6.303226170178977e-13 2.243143821731297e-12
1142.236316684041 2.2232683630305644e-14 1.633217419270104e-14
1142.2486067586174 1.0084963463288799e-12 2.1579769221569123e-12
1142.2608965916556 -2.306866787979596e-14 1.5332873520650624e-14
1142.2731861831687 -1.9387876890139977e-15 1.635273507046269e-14
1142.2854755331718 1.6952102360203412e-14 1.710562538782736e-14
1142.2977646416787 1.5228059698640939e-12 1.5133843614054121e-12
1142.3100535087037 1.5380370588236048e-12 1.5274249963795339e-12
1142.3223421342616 -7.39392271367767e-13 8.83359303673753e-13
1142.334630518366 -4.279946944676363e-15 1.5945263094922432e-14
1142.346918661031 4.3693586075643776e-13 1.7250285401504417e-12
1142.359206562271 1.4378000743123232e-12 1.4382496929532529e-12
1142.3714942221009 1.4023595000563628e-15 1.682381244407817e-14
1142.3837816405337 -1.0491466636425306e-12 9.047949564057467e-13
1142.3960688175846 -1.0088269195712707e-12 8.552968988433107e-13
1142.4083557532674 -4.4456110884563693e-13 5.119048631166412e-13
1142.4206424475967 -1.2508919037580463e-14 1.763768235738157e-14
1142.4329289005866 -1.647667631943673e-14 1.7074610429430696e-14
1142.4452151122507 -2.6000685979243876e-14 1.7394370449216878e-14
1142.457501082604 -4.1675381678638046e-13 4.707448081515964e-13
1142.4697868116605 -8.065483299139233e-15 1.776955183474191e-14
1142.4820722994343 -3.7427106227595763e-13 4.702140369780561e-13
1142.4943575459395 -3.611541133426849e-13 5.185902163425127e-13
1142.5066425511905 5.074288767490699e-14 4.459452623254041e-14
1142.5189273152016 9.880663724270294e-14 7.587058422926091e-14
1142.5312118379863 -2.414279163075856e-15 1.834679123576856e-14
1142.5434961195601 1.2750763986324465e-12 1.275134620289109e-12
1142.5557801599361 2.8682658470354666e-16 1.937687816731988e-14
1142.5680639591292 2.136748182633274e-15 1.9827589480751577e-14
1142.5803475171533 3.376015617981439e-15 1.984648678580482e-14
1142.5926308340222 1.5059749237586462e-12 1.7895453998870159e-12
1142.6049139097513 1.6102806776188759e-15 2.072180555129973e-14
1142.6171967443531 1.1150178409703379e-13 1.1997443782798406e-13
1142.6294793378433 1.1889915321836725e-13 1.2890066076153006e-13
1142.6417616902359 -9.817481165042344e-14 2.9074922265788505e-13
1142.654043801544 1.4232991413058727e-13 1.5857573500838162e-13
1142.666325671783 -2.39270409041481e-14 2.3067422741363496e-14
1142.6786073009662 -3.5032276423296524e-14 2.566378709480295e-14
1142.6908886891085 -1.591745073421802e-12 9.290108829787536e-13
1142.7031698362239 1.1240754421021348e-12 1.1603002629881343e-12
1142.715450742326 -6.415300148748804e-13 7.259476765379691e-13
1142.72773140743 -4.311439036732215e-14 2.7176186444982132e-14
1142.7400118315493 -6.818796287159923e-13 7.779853150591265e-13
1142.7522920146985 -2.3481432117190663e-14 2.335399092807857e-14
1142.7645719568916 3.795172726431262e-13 1.338152136841353e-12
1142.7768516581427 3.408414501158974e-13 1.3144083261043549e-12
1142.7891311184662 -2.879929300136745e-14 1.7923186670714894e-14
1142.8014103378762 -4.3622583030620415e-14 3.364018455074766e-14
1142.8136893163867 2.0925403337174187e-12 1.4790948413972993e-12
1142.825968054012 8.036002317410047e-15 1.600338988389481e-14
1142.8382465507664 1.0117802862891212e-12 1.0147304004004543e-12
1142.8505248066638 -6.965330547580029e-13 7.967713403118915e-13
1142.862802821719 -7.008733871050055e-13 8.052599928011495e-13
1142.8750805959457 1.4793015987515923e-12 1.2410336430387914e-12
1142.8873581293578 1.954559344236051e-12 1.3861882561944094e-12
1142.8996354219698 -2.0559742737501566e-14 1.2593474101540124e-14
1142.9119124737963 -1.3460847020363431e-12 9.653759996258726e-13
1142.9241892848506 -2.4158047117655082e-14 1.121071399097116e-14
1142.9364658551474 -6.797807217302776e-13 6.684218066196901e-13
1142.9487421847007 -1.1695796207336542e-14 1.1141053154356019e-14
1142.9610182735246 -2.3147897647616232e-14 1.0836964938159936e-14
1142.9732941216334 -3.4296831596513505e-14 1.0603244831089952e-14
1142.9855697290411 -3.17314872836684e-14 1.0230236085074628e-14
1142.9978450957624 -5.072219228831332e-13 5.849290778299487e-13
1143.010120221811 -1.9276462411422883e-14 9.196259578229515e-15
1143.0223951072005 -6.341870930313964e-13 6.095371603287436e-13
1143.0346697519462 -1.87445045447235e-15 9.509250957734187e-15
1143.0469441560615 3.43530407028933e-14 9.333420538173987e-13
1143.0592183195606 -2.1811255092893476e-15 8.561471064700513e-15
1143.0714922424584 8.422355152713779e-13 8.500051790899521e-13
1143.0837659247675 -1.1314024058448925e-14 8.243291608393908e-15
1143.0960393665039 6.722061058825335e-13 7.522909161936098e-13
1143.1083125676803 8.700979932212138e-13 8.735323120227789e-13
1143.1205855283115 -5.827621913680192e-13 4.965812917118173e-13
1143.1328582484116 -6.394778149799432e-15 7.438818678607347e-15
1143.145130727995 -1.131932980506789e-12 5.686372596749867e-13
1143.1574029670749 -9.206033288119975e-13 5.549154885597929e-13
1143.1696749656662 -1.8883422183237943e-14 7.221291300390023e-15
1143.1819467237829 7.808554150501301e-13 7.966776110340801e-13
1143.1942182414396 -2.0971946239085187e-14 6.608795423483334e-15
1143.2064895186493 -1.3545027526353816e-14 6.84419477337125e-15
1143.218760555427 -8.287474981445719e-13 6.835917465766728e-13
