#WAVELENGTH FLUX ERROR
2576.716129789108 -1.6603123769495104e-13 5.370950685849201e-16
2576.727335148281 -1.538263467342274e-13 4.977979808486817e-16
2576.738540050136 -1.7518392335727495e-13 5.6708749939557e-16
2576.7497444947294 -9.599008328649294e-14 1.0307602211004352e-13
2576.760948482115 8.97143958514951e-14 5.268600836096267e-14
2576.7721520123487 4.160595004913843e-14 6.870424503835695e-14
2576.78335508549 -7.986092256245803e-14 5.4351783355032976e-14
2576.7945577015944 -1.9053519951573762e-14 6.018734230624212e-14
2576.8057598607147 -6.492305608049587e-14 6.962110060551932e-14
2576.8169615629067 1.7212014420068394e-14 8.202454286534294e-14
2576.8281628082273 -3.778629563107663e-14 4.3017903150234515e-14
2576.8393635967363 -1.0429681850966915e-15 5.304637005804254e-14
2576.850563928486 8.813720695118044e-14 5.824838224602336e-14
2576.8617638035334 7.761775570143056e-14 5.840643181771743e-14
2576.872963221932 3.66393554222539e-14 7.121164552134629e-14
2576.8841621837364 1.0304871376782404e-13 8.28887400882404e-14
2576.89536068901 2.633367699247935e-13 9.934552638000971e-14
2576.9065587378004 4.75990503522733e-13 1.1131977365732779e-13
2576.91775633017 1.0037612017607667e-12 1.507952969307183e-13
2576.928953466167 1.3062413563996733e-12 1.627099063122861e-13
2576.940150145857 1.4654898388560822e-12 1.6919122624182298e-13
2576.951346369289 1.7940547051426003e-12 1.933467627538224e-13
2576.9625421365195 2.4213589033122984e-12 2.1212790909681117e-13
2576.973737447605 2.9050631258215054e-12 2.447416455695489e-13
2576.9849323026 3.1359832265709375e-12 2.450479597883304e-13
2576.9961267015615 4.016317660393565e-12 2.7600312443518127e-13
2577.0073206445472 4.381050643792461e-12 2.8927221403830805e-13
2577.01851413161 4.080543628687261e-12 2.793708190132471e-13
2577.0297071628074 5.305040694930652e-12 3.162058288819214e-13
2577.040899738193 4.485790211505858e-12 2.937010714926941e-13
2577.0520918578245 4.5466972201091416e-12 2.996895266671462e-13
2577.063283521756 4.592126158498022e-12 3.02162971293346e-13
2577.0744747300428 5.35665392251139e-12 3.1058554166019103e-13
2577.085665482745 5.563461583785179e-12 3.249522233326335e-13
2577.096855779913 6.155190506590413e-12 3.357074546735811e-13
2577.108045621602 6.611339080364598e-12 3.4933359915716167e-13
2577.1192350078727 6.430451223587985e-12 3.4718389729966603e-13
2577.1304239387778 5.900309754669486e-12 3.2725802319791275e-13
2577.1416124143716 4.824758214477809e-12 3.0118025044420516e-13
2577.1528004347115 3.726878181065096e-12 2.6369528847818013e-13
2577.163987999851 3.686593998825094e-12 2.7123556222211076e-13
2577.1751751098514 3.6893292240658404e-12 2.6665491646357675e-13
2577.186361764763 4.562892598480861e-12 2.9672222795137926e-13
2577.1975479646394 5.566902407799779e-12 3.281781584766469e-13
2577.2087337095427 5.797692187448078e-12 3.3057668473272794e-13
2577.2199189995235 6.595659782226981e-12 3.4583040641258944e-13
2577.2311038346384 6.046625439931619e-12 3.34939460064701e-13
2577.2422882149417 5.01367957567167e-12 3.0748553659851185e-13
2577.253472140493 4.350763672944513e-12 2.8999372347904284e-13
2577.2646556113423 3.722389584071006e-12 2.7052072062473675e-13
2577.2758386275505 3.3068758235194062e-12 2.53333812261225e-13
2577.2870211891704 2.594043035930582e-12 2.223364450448101e-13
2577.2982032962564 1.157546389470021e-12 1.7221349400773495e-13
2577.3093849488637 8.068420064011317e-13 1.410527646289808e-13
2577.320566147053 6.744620053428241e-13 1.479344126581808e-13
2577.3317468908713 6.958300038592546e-13 1.4414932734876235e-13
2577.3429271803816 1.927996391010156e-12 2.2143934906224128e-13
2577.354107015636 2.9351957062800915e-12 2.607894098154845e-13
2577.3652863966868 2.7603444703594437e-12 2.5599585385532864e-13
2577.376465323593 3.4909811586630868e-12 2.735565951279134e-13
2577.3876437964122 4.4112500111048725e-12 3.0046966434035816e-13
2577.398821815195 5.145926219862762e-12 3.0827133922807504e-13
2577.4099993799996 6.305989150995339e-12 3.3822903787623926e-13
2577.4211764908796 5.980132188054821e-12 3.3239540677201806e-13
2577.43235314789 6.979656002464862e-12 3.55933056465918e-13
2577.443529351089 7.1850372873605295e-12 3.5889718389033043e-13
2577.4547051005306 6.2148701983344434e-12 3.350708382629519e-13
2577.4658803962675 5.619445880844509e-12 3.2633376795092317e-13
2577.477055238357 3.4773917686331535e-12 2.558870270622654e-13
2577.488229626858 2.530520714846829e-12 2.2513441848628912e-13
2577.4994035618156 2.6353595954792253e-12 2.270261750944233e-13
2577.5105770432974 4.835432401706363e-12 3.01576905809009e-13
2577.521750071348 6.765986642481847e-12 3.5415095335500357e-13
2577.5329226460317 8.095856450507366e-12 3.869637086890282e-13
2577.5440947673974 7.85317730983559e-12 3.761461086181084e-13
2577.555266435502 6.180201315986178e-12 3.389028966314933e-13
2577.5664376503983 5.509932787806093e-12 3.172931210305985e-13
2577.5776084121467 3.3689503010220223e-12 2.625426460435565e-13
2577.588778720799 2.485726685250156e-12 2.1306350780903038e-13
2577.5999485764114 2.196290458528205e-12 2.1730109844766282e-13
2577.6111179790364 3.9487115834069275e-12 2.7313616863047785e-13
2577.6222869287335 5.981541217198183e-12 3.2750345946470916e-13
2577.6334554255554 8.497661775630494e-12 3.9245497585223277e-13
2577.6446234695577 1.0116431130302583e-11 4.227501595316374e-13
2577.655791060791 1.056878889960089e-11 4.315201895897097e-13
2577.6669581993197 1.0537534386734215e-11 4.2968726450196004e-13
2577.6781248851908 9.806471606976785e-12 4.2654725238011615e-13
2577.689291118463 9.286792689022771e-12 4.118861013976266e-13
2577.700456899188 9.266287390174988e-12 4.101500768790428e-13
2577.7116222274262 9.907382206297832e-12 4.3170401606805464e-13
2577.7227871032264 1.0116736441634355e-11 4.3086611752410353e-13
2577.7339515266513 8.946875358628592e-12 4.0486898230697455e-13
2577.7451154977502 5.667226670585945e-12 3.2756799659902636e-13
2577.7562790165784 3.726905502959843e-12 2.705623268831059e-13
2577.7674420831913 1.769589249439596e-12 1.914292563440917e-13
2577.778604697644 1.3885824998519092e-12 1.8258936300852985e-13
2577.7897668599935 1.6675701618174e-12 1.989521964057897e-13
2577.800928570293 2.5031292143207207e-12 2.2430672499528653e-13
2577.812089828595 3.294260914402103e-12 2.582145922861573e-13
2577.8232506349605 5.044872939535816e-12 3.1693397906096266e-13
2577.8344109894383 5.472582890325706e-12 3.2970376645860555e-13
2577.845570892085 5.100845093530815e-12 3.1668076364357867e-13
2577.8567303429563 5.056257496027783e-12 3.062732901494558e-13
2577.8678893421106 6.041831531605757e-12 3.3660438802582404e-13
2577.879047889593 6.898742428013138e-12 3.5754439773466595e-13
2577.8902059854686 9.01660256874548e-12 3.9928615427030356e-13
2577.901363629787 9.190112212897894e-12 4.0829422091534506e-13
2577.9125208226046 8.301360467088958e-12 3.8753955556788955e-13
2577.923677563975 7.657784996395467e-12 3.7123890116522174e-13
2577.934833853957 6.822096706993186e-12 3.459821405066288e-13
2577.9459896925987 4.543893906971963e-12 2.935407179913835e-13
