WAVELENGTH FLUX ERROR
1.214000000000000000e+03 1.530025491483228299e-23 9.999999999999999791e-17
1.214099999999999909e+03 1.740398480222634216e-22 9.999999999999999791e-17
1.214199999999999818e+03 1.703792191887896526e-21 9.999999999999999791e-17
1.214299999999999727e+03 1.435497535904188355e-20 9.999999999999999791e-17
1.214399999999999636e+03 1.040893217141715580e-19 9.999999999999999791e-17
1.214499999999999545e+03 6.495727611636843243e-19 9.999999999999999791e-17
1.214599999999999454e+03 3.488729770427201358e-18 9.999999999999999791e-17
1.214699999999999363e+03 1.612592949869791889e-17 9.999999999999999791e-17
1.214799999999999272e+03 6.415050532845002780e-17 9.999999999999999791e-17
1.214899999999999181e+03 2.196308317256115411e-16 9.999999999999999791e-17
1.214999999999999091e+03 6.471492171202384328e-16 1.467841590176955911e-16
1.215099999999999000e+03 1.641093984264802819e-15 3.722272915993535900e-16
1.215199999999998909e+03 3.581627173316721006e-15 8.123723534576144199e-16
1.215299999999998818e+03 6.727368209501056348e-15 1.525878512884801348e-15
1.215399999999998727e+03 1.087496631328674396e-14 2.466622445662297825e-15
1.215499999999998636e+03 1.512963815876126414e-14 3.431652476160209295e-15
1.215599999999998545e+03 1.811536388575441004e-14 4.108864513662774515e-15
1.215699999999998454e+03 1.866738490338670129e-14 4.234072021745403881e-15
1.215799999999998363e+03 1.655532846877491581e-14 3.755022647426523072e-15
1.215899999999998272e+03 1.263601174458253134e-14 2.866056711804165589e-15
1.215999999999998181e+03 8.300421360859938693e-15 1.882673016847631882e-15
1.216099999999998090e+03 4.692541880058499539e-15 1.064346205323041225e-15
1.216199999999997999e+03 2.283148053222366231e-15 5.178557866398030607e-16
1.216299999999997908e+03 9.560440248499353011e-16 2.168466166056062995e-16
1.216399999999997817e+03 3.445399670614206308e-16 9.999999999999999791e-17
1.216499999999997726e+03 1.068609974544661279e-16 9.999999999999999791e-17
1.216599999999997635e+03 2.852441450761012460e-17 9.999999999999999791e-17
1.216699999999997544e+03 6.552879072697881409e-18 9.999999999999999791e-17
1.216799999999997453e+03 1.295583676846252471e-18 9.999999999999999791e-17
1.216899999999997362e+03 2.204533390986008438e-19 9.999999999999999791e-17
1.216999999999997272e+03 3.228388519993259551e-20 9.999999999999999791e-17
1.217099999999997181e+03 4.068860559945115181e-21 9.999999999999999791e-17
1.217199999999997090e+03 4.413444999642141502e-22 9.999999999999999791e-17
1.217299999999996999e+03 4.120031440458466119e-23 9.999999999999999791e-17
1.217399999999996908e+03 3.310100966599991849e-24 9.999999999999999791e-17
