sci_data_set_name,sci_start_time,sci_stop_time,sci_actual_duration,sci_instrume,sci_spec_1234,sci_central_wavelength,search_pos,ang_sep,sci_targname
OEI103UGQ,2021-06-04T03:09:13.643000,2021-06-04T03:12:08.780000,0.3,STIS  ,MIRVIS,0.0,178.57663 -37.55273,0.10319858199200155,LP-961-53
OEI103UHQ,2021-06-04T03:17:09.227000,2021-06-04T03:17:09.327000,0.1,STIS  ,MIRVIS,0.0,178.57663 -37.55273,0.10319860166285375,LP-961-53
OEI103010,2021-06-04T03:21:16.587000,2021-06-04T03:51:01.587000,1785.093125,STIS  ,G140M,1222.0,178.57663 -37.55273,0.10319863367874706,LP-961-53
OEI104010,2021-06-05T20:38:50.603000,2021-06-05T21:08:35.603000,1785.173,STIS  ,G140M,1222.0,178.57663 -37.55273,0.10321173085758314,LP-961-53
OEOO14010,2022-05-31T11:19:52.053000,2022-05-31T11:55:03.053000,2111.191125,STIS  ,G140L,1425.0,178.57663 -37.55273,0.10803761036487577,LP-961-53
OEOO14020,2022-05-31T12:47:39.063000,2022-05-31T13:29:26.063000,2507.195625,STIS  ,G140L,1425.0,178.57663 -37.55273,0.10803804170718781,LP-961-53
OEOO14030,2022-05-31T14:22:53.047000,2022-05-31T15:04:40.047000,2507.17875,STIS  ,G140L,1425.0,178.57663 -37.55273,0.1080384968178881,LP-961-53
OEOO16010,2022-06-20T02:43:04.140000,2022-06-20T03:17:50.140000,2086.18575,STIS  ,G140M,1222.0,178.57663 -37.55273,0.10820237890634773,LP-961-53
OEOO16020,2022-06-20T04:10:28.140000,2022-06-20T04:52:13.140000,2505.141875,STIS  ,G140M,1222.0,178.57663 -37.55273,0.10820299767700045,LP-961-53
OEOO16030,2022-06-20T05:45:40.140000,2022-06-20T06:18:51.140000,1991.1995,STIS  ,G230L,2376.0,178.57663 -37.55273,0.1082036578950815,LP-961-53
OEOO16040,2022-06-20T06:24:13.133000,2022-06-20T06:26:57.133000,120.0,STIS  ,G430L,4300.0,178.57663 -37.55273,0.10820391128514596,LP-961-53
OEOO15010,2022-06-21T21:33:58.157000,2022-06-21T22:09:09.157000,2111.179875,STIS  ,G140L,1425.0,178.57663 -37.55273,0.10822042427790599,LP-961-53
OEOO15020,2022-06-21T23:01:46.157000,2022-06-21T23:43:33.157000,2507.19175,STIS  ,G140L,1425.0,178.57663 -37.55273,0.10822106696649242,LP-961-53
OEOO15030,2022-06-22T00:39:22.157000,2022-06-22T01:18:48.157000,2366.199375,STIS  ,G230L,2376.0,178.57663 -37.55273,0.10822174698842839,LP-961-53
OEOO40010,2022-12-20T04:13:18.723000,2022-12-20T04:48:29.723000,2111.19825,STIS  ,G140L,1425.0,178.57663 -37.55273,0.1117880806235329,LP-961-53
OEOO40020,2022-12-20T05:41:03.717000,2022-12-20T06:22:50.717000,2507.198125,STIS  ,G140L,1425.0,178.57663 -37.55273,0.11178911543548566,LP-961-53
OEOO39010,2022-12-21T21:28:24.707000,2022-12-21T22:03:35.707000,2111.15175,STIS  ,G140L,1425.0,178.57663 -37.55273,0.11181633333373464,LP-961-53
OEOO39020,2022-12-21T22:56:10.723000,2022-12-21T23:37:57.727000,2507.192,STIS  ,G140L,1425.0,178.57663 -37.55273,0.11181734870122215,LP-961-53
OEOO39030,2022-12-22T00:31:21.700000,2022-12-22T01:13:08.700000,2507.19525,STIS  ,G140L,1425.0,178.57663 -37.55273,0.11181842222266238,LP-961-53
