Star,Planet,Radius,Mass,Escape,ref,Notes
GJ341,GJ341b,0.88,-4,,,mass is nonsense
GJ367,GJ367b,0.699,0.633,,,
HATS-72,HATS-72b,8.0973816,39.855882,,,
HD15337,HD15337b,1.77,6.519,,,
HD15337,HD15337c,2.526,6.792,,,
HD80606,HD80606b,11.242627,1308.18828,,,
HIP67522,HIP67522b,9.763,13.8,Y,https://ui.adsabs.harvard.edu/abs/2024AJ....168..297T/abstract,
K2-141,K2-141b,1.51,4.97,,,
K2-141,K2-141c,7,8,,,
K2-18,K2-18b,2.61,8.63,,,
Kepler-51,Kepler-51b,6.83,6.7,,,
Kepler-51,Kepler-51c,6.4,5.65,,,
Kepler-51,Kepler-51d,9.32,6.6,,,
L168-9,L168-9b,1.63,4.07,,,
NGTS-10,NGTS-10b,13.506845,687.14846,,,
TOI-178,TOI-178b,1.152,1.5,,,
TOI-178,TOI-178c,1.669,4.77,,,
TOI-178,TOI-178d,2.572,3.01,,,
TOI-178,TOI-178e,2.207,3.86,,,
TOI-178,TOI-178f,2.287,7.72,,,
TOI-178,TOI-178g,2.87,3.94,,,
TOI-260,TOI-260b,1.47291596,3.3,,,
TOI-421,TOI-421b,2.64,6.7,,,
TOI-421,TOI-421c,5.09,14.1,,,
TOI-776,TOI-776b,1.798,5,Y,https://ui.adsabs.harvard.edu/abs/2025Natur.638..636L/abstract,
TOI-776,TOI-776c,2.047,6.9,Y,https://ui.adsabs.harvard.edu/abs/2025Natur.638..636L/abstract,
TOI-836,TOI-836b,1.704,4.53,Y,https://ui.adsabs.harvard.edu/abs/2025AJ....169..204Z/abstract,
TOI-836,TOI-836c,2.587,9.6,Y,https://ui.adsabs.harvard.edu/abs/2025AJ....169..204Z/abstract,
WASP-121,WASP-121b,19.64934317,367.7274669,Y,https://ui.adsabs.harvard.edu/abs/2019AJ....158...91S/abstract,
WASP-166,WASP-166b,7.06167,32.10083,,,
WASP-63,WASP-63b,14.90797,107.74437,,,
