Name,Proxy,Sp Type,Rossby number ,Age (Gyr),Age Uncertianty Upper (Gyr),Age Uncertainty Lower (Gyr),Prot (days),Prot Uncertainty Upper (days),Prot Uncertainty Lower (days),AV (mag),AV uncertainty upper (mag),AV uncertainty lower (mag),Parallax (mas),Dist (pc),Teff (K),Teff uncertainty upper (K),Teff uncertainty lower (K),log g,log g uncertainty upper,log g uncertainty lower,Radius (Rsun),Radius uncertainty upper,Radius uncertainty lower,Mass,Mass uncertainty upper,Mass uncertainty lower,Lbol (calculated),Prot reference,AV reference,Teff reference,log g reference,Radius reference,Mass reference,Age reference
WASP-63,N,G8,-2.60,8.3,1.3,1.2,-31.8,0,0,0.11,0.04,0.04,3.460921346,288.94,5550,100,100,3.99,0.03,0.03,1.76,0.11,0.08,1.1,0.04,0.06,1.01427E+34,Calculated from vsini from Bonomo2017,Stassun2017,Bonomo2017,calculated from Bonomo2017 mass and radius values,Bonomo2017,Bonomo2017,Bonomo2017
WASP-121,N,F6V,0.13,1.5,1,1,-1.1,0,0,0.028,0.037,0.022,3.6763,272.01,6459,140,140,4.242,0.011,0.012,1.458,0.03,0.03,1.353,0.08,0.079,1.27683E+34,Bourrier et al. 2020a,Delrez et al. 2016 (Rv=3.1 assumed),Delrez et al. 2016,Delrez et al. 2016,Delrez et al. 2016,Delrez et al. 2016,Delrez et al. 2016
HIP 67522,N,G0V,0.13,0.017,0.002,0.002,1.418,0.016,0.016,0.12,0.06,0.06,8.017041586,124.73,5675,75,75,4.24,0.03,0.03,1.38,0.06,0.06,1.22,0.05,0.05,6.81678E+33,Rizzuto et al. 2020,Rizzuto et al. 2020,Rizzuto et al. 2020,Calculated from Rizzuto2020 mass and radius values,Rizzuto et al. 2020,Rizzuto et al. 2020,Rizzuto et al. 2020
Kepler-51,N,mid-G,0.71,0.5,0.25,0.25,8.222,0.007,0.007,0.39,0,0,1.2473,801.73,5670,60,60,4.541,0.008,0.008,0.881,0.011,0.011,0.985,0.012,0.012,2.76848E+33,Libby-Roberts2020,Kepler Input Catalog,Johnson et al. 2017,Calculated from LibbyRoberts2020 mass and radius,LibbyRoberts2020,LibbyRoberts2020,LibbyRoberts2020
GJ 367,N,M1,0.85,8,3.8,4.6,0,44,49,~0,0,0,106.1726822,9.42,3522,70,70,4.777,0.026,0.026,0.457,0.013,0.013,0.454,0.011,0.011,1.10904E+32,Lam2021,Lam2021,Lam2021,Lam2021,Lam2021,Lam2021,Lam2021
K2-18,N,M2.5V,0.63,-3,,,38.6,0.6,0.4,~0,0,0,26.24687716,38.10,3457,39,39,4.77,0.05,0.05,0.411,0.038,0.038,0.359,0.047,0.047,8.32605E+31,Cloutier2017,,Cloutier2017,Calculated from Cloutier2017 values,Cloutier2017,Cloutier2017,Calculated using Engle&Guinan2023 rotation-age relationship
TOI-776,N,M1V,0.80,7.8,3.9,6.3,0,30,40,~0,0,0,36.82910606,27.15,3709,70,70,4.727,0.025,0.025,0.538,0.024,0.024,0.544,0.028,0.028,1.89038E+32,Luque2021,,Luque2021,Luque2021,Luque2021,Luque2021,Luque2021
GJ 341,N,M0,0.95,,,,,,,,,,95.69817587,10.45,3770,40,40,4.72,0.02,0.02,0.5066,0.0169,0.0172,0.48,0.03,0.03,1.78918E+32,diTomasso under review,,diTomasso under review,diTomasso under review,diTomasso under review,diTomasso under review,diTomasso under review
TOI-421,N,G9V,3.40,9.4,9.4,3.1,43.24,0.57,0.55,0.11,0.12,0.08,13.3407,74.96,5325,79,58,4.486,0.025,0.018,0.871,0.012,0.012,0.852,0.029,0.021,2.1051E+33,Carleo2020,Carleo2020,Carleo2020,Carleo2020,Carleo2020,Carleo2020,Carleo2020
TOI-134,N,M1V,0.71,-3,,,29.8,1.3,1.3,~0,0,0,39.71128907,25.18,3800,70,70,4.04,0.49,0.49,0.6,0.022,0.022,0.62,0.03,0.03,2.59057E+32,AstudilloDefru2020,,AsudilloDefru2020,AstudilloDefru2020,AstudilloDefru2020,Mann2019,Calculated using Engle&Guinan2023 rotation-age relationship
