Name,Teff (K),Parallax (mas),Dist (pc),X-ray,FUV
WASP-63,5550,3.460921346,288.94,N,N
WASP-121,6459,3.6763,272.01,Y,Y
HIP 67522,5675,8.017041586,124.73,Y,Y
Kepler-51,5670,1.2473,801.73,N,N
GJ 367,3522,106.1726822,9.42,Y,Y
K2-18,3457,26.24687716,38.10,N,N
TOI-776,3709,36.82910606,27.15,Y,Y
GJ 341,3770,95.69817587,10.45,Y,Y
TOI-421,5325,13.3407,74.96,N,Y
TOI-134,3800,39.71128907,25.18,Y,Y
WASP-166,6050,8.7301,114.55,Y,Y
NGTS-10,4400,3.87136949,258.31,N,N
TOI-260,4111,49.475749,20.21,Y,y
TOI-836,4552,36.35254671,27.51,Y,Y
TOI-402,5125,22.2921699,44.86,Y,Y
K2-141,4599,16.13029394,62.00,Y,Y
TOI-178,4316,15.9205,62.81,N,Y
HD 80606,5561,15.14390291,66.03,N,Y
HATS-72,4656,7.809,128.06,N,Y
GJ 4102,3300,80.11338273,12.48,Y,Y
