# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Feb 24 12:20:34 2025
#
# User preference: *
#
# CONSTRAINT:  where (st_teffstr > 0
# CONSTRAINT:  and sy_diststr > 0)
#
# COLUMN tic_id:         TIC ID
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
tic_id	st_teff	st_tefferr1	st_tefferr2	st_tefflim	sy_dist	sy_disterr1	sy_disterr2
TIC 388857263	2900.00	100.00	-100.00	0	1.3011900	0.0003400	-0.0003500
TIC 388857263	3295.50	42.83	-4.83	0	1.3011900	0.0003400	-0.0003500
TIC 388857263	3050.00	100.00	-100.00	0	1.3011900	0.0003400	-0.0003500
TIC 471011144	5251.00	23.00	-23.00	0	1.3474910	0.0025420	-0.0025420
TIC 471011144	5234.00	63.00	-63.00	0	1.3474910	0.0025420	-0.0025420
TIC 471011144	5214.00	33.00	-33.00	0	1.3474910	0.0025420	-0.0025420
TIC 471011145	5801.00			0	1.3474910	0.0025420	-0.0025420
TIC 471011144	5178.00			0	1.3474910	0.0025420	-0.0025420
TIC 325554331	3259.00	157.00	-157.00	0	1.8265500	0.0009750	-0.0009750
TIC 325554331	3271.00			0	1.8265500	0.0009750	-0.0009750
TIC 325554331	3195.00	28.00	-28.00	0	1.8265500	0.0009750	-0.0009750
TIC 118572803	5153.00	42.00	-42.00	0	3.2026000	0.0048300	-0.0048300
TIC 118572803	5020.38	57.69	-57.69	0	3.2026000	0.0048300	-0.0048300
TIC 118572803	5136.00	18.00	-18.00	0	3.2026000	0.0048300	-0.0048300
TIC 118572803	5065.00	131.14	-71.56	0	3.2026000	0.0048300	-0.0048300
TIC 118572803	5146.00			0	3.2026000	0.0048300	-0.0048300
